"JOURNEY_ID","STORY_TITLE","LEVEL","MODE","CHALLENGE_PROMPT","ACTUAL_SEGMENTS_ITEMS","EXPECTED_ORDER","ACCEPTED_ANSWER","SOURCE_SENTENCE","BROKEN_SENTENCE","ALL_CANDIDATE_ANSWERS_OPTIONS","CORRECT_ANSWER","WHY_CORRECT","WHY_EACH_DISTRACTOR_IS_WRONG","ACTUAL_PARAGRAPH_CONTEXT","MISSING_POSITION","PRIMARY_LEARNING_INTENT","TAUGHT_SOURCE_TYPE","TAUGHT_SOURCE_ID","TAUGHT_SOURCE_TEXT","STORY_REINFORCEMENT_EVIDENCE","LEVEL_FIT_RATIONALE","JOURNEY_IDENTITY_RATIONALE","HISTORICAL_CULTURAL_PROVENANCE","AGENT_PRECHECK_RESULT","HUMAN_REVIEWER","HUMAN_REVIEW_DATE","HUMAN_RESULT","HUMAN_NOTES"
"beijing-forbidden-city","两条路，一张图","Lv1","paragraphRebuild","重建事件关系\n难度 · 初级\n当前 Lv1：按两条路线怎样相遇又分开，重建这段空间行动。 不靠原句记忆，先判断动作、关系与因果。\n训练目标 · 辨认沈砚与阿宁先后画线的动作\n第 1 / 3 次 · 候选答案 4 个","他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。\n十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。\n沈砚最后擦掉阿宁的路线，只留下自己的中轴线。\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。","十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。\n他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。","十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。\n他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。","","","他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。\n十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。\n沈砚最后擦掉阿宁的路线，只留下自己的中轴线。\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。","十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。\n他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。","故事通常先介绍地点或人物，再写行动，最后写结果。","沈砚最后擦掉阿宁的路线，只留下自己的中轴线。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.","","","辨认沈砚与阿宁先后画线的动作","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv1","十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。","The accepted answer is grounded in the active 两条路，一张图 Lv1 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv1 checkpoint uses the level's active Story and its declared 辨认沈砚与阿宁先后画线的动作 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","午门是紫禁城的正门，位于紫禁城南北轴线上。门、廊庑和广场层层递进，使中轴上的接近次序成为宫城空间组织的重要部分。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-forbidden-city","两条路，一张图","Lv1","grammarRepair","修好这句中文\n难度 · 初级\n当前 Lv1 语言目标：的/地/得与副词范围。先定位不自然部分，再选最小且完整的修复。\n训练目标 · 掌握的/地/得与副词范围\n第 1 / 3 次 · 候选答案 4 个","","","把两条路线都清楚地","沈砚把两条路线都清楚地描在同一张纸上。","沈砚把两条路线都清楚的描在同一张纸上。","把两条路线都清楚地\n把两条路线都清楚得\n把两条路线都清楚的\n把两条路线清楚地都","把两条路线都清楚地","方式状语用“地”，并把范围副词放在它所管的对象之后。","把两条路线都清楚得 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.\n把两条路线都清楚的 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.\n把两条路线清楚地都 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.","","","掌握的/地/得与副词范围","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv1","十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。一个年幼侍役阿宁看见后说：“我的路不这样走。","The accepted answer is grounded in the active 两条路，一张图 Lv1 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv1 checkpoint uses the level's active Story and its declared 掌握的/地/得与副词范围 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","午门是紫禁城的正门，位于紫禁城南北轴线上。门、廊庑和广场层层递进，使中轴上的接近次序成为宫城空间组织的重要部分。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-forbidden-city","两条路，一张图","Lv1","missingSentence","补全上下文关系\n难度 · 初级\n当前 Lv1：结合前后动作，选出最能说明两条路线关系的一句。 答案必须同时承接前句并解释后句。\n训练目标 · 补足人物与路线的直接承接\n第 1 / 3 次 · 候选答案 4 个","","","一个年幼侍役阿宁看见后说：“我的路不这样走。”","","","沈砚最后擦掉阿宁的路线，只留下自己的中轴线。\n沈砚认为建筑轴线会让所有人的实际行动完全相同。\n一个年幼侍役阿宁看见后说：“我的路不这样走。”\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。","一个年幼侍役阿宁看见后说：“我的路不这样走。”","正确句要接住前一句，并让后一句自然发生。","沈砚最后擦掉阿宁的路线，只留下自己的中轴线。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.\n沈砚认为建筑轴线会让所有人的实际行动完全相同。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.","他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。一个年幼侍役阿宁看见后说：“我的路不这样走。”阿宁在纸角画出自己从东侧过来、也到乾清门前的一条线。","Between the supplied preceding and following context sentences","补足人物与路线的直接承接","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv1","他在纸上画自己从午门沿中轴走到乾清门的学习路线，觉得一张路线图应该只有一条最清楚的路。一个年幼侍役阿宁看见后说：“我的路不这样走。”阿宁在纸角画出自己从东侧过来、也到乾清门前的一条线。","The accepted answer is grounded in the active 两条路，一张图 Lv1 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv1 checkpoint uses the level's active Story and its declared 补足人物与路线的直接承接 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","午门是紫禁城的正门，位于紫禁城南北轴线上。门、廊庑和广场层层递进，使中轴上的接近次序成为宫城空间组织的重要部分。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-forbidden-city","两条路，一张图","Lv5","paragraphRebuild","重建事件关系\n难度 · 标准\n当前 Lv5：按两条路线怎样相遇又分开，重建这段空间行动。 不靠原句记忆，先判断动作、关系与因果。\n训练目标 · 理解沈砚没有擦掉任何一条线的选择\n第 1 / 3 次 · 候选答案 4 个","阿宁把沈砚的路线改成和自己完全一样，两人才继续走。\n年幼侍役阿宁看见后却说，他今天经过的空间不是这样组织的。\n阿宁在另一张纸上画出自己从东侧接近乾清门前的走法。\n他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”","年幼侍役阿宁看见后却说，他今天经过的空间不是这样组织的。\n阿宁在另一张纸上画出自己从东侧接近乾清门前的走法。\n他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”","年幼侍役阿宁看见后却说，他今天经过的空间不是这样组织的。\n阿宁在另一张纸上画出自己从东侧接近乾清门前的走法。\n他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”","","","阿宁把沈砚的路线改成和自己完全一样，两人才继续走。\n年幼侍役阿宁看见后却说，他今天经过的空间不是这样组织的。\n阿宁在另一张纸上画出自己从东侧接近乾清门前的走法。\n他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”","年幼侍役阿宁看见后却说，他今天经过的空间不是这样组织的。\n阿宁在另一张纸上画出自己从东侧接近乾清门前的走法。\n他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”","正确排序来自当前 Lv5 故事的事件推进；判断重点是前一动作怎样制造后一结果。","阿宁把沈砚的路线改成和自己完全一样，两人才继续走。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.","","","理解沈砚没有擦掉任何一条线的选择","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv5","沈砚因此相信，一张真正清楚的路线图应该找出唯一的主路线。年幼侍役阿宁看见后却说，他今天经过的空间不是这样组织的。阿宁在另一张纸上画出自己从东侧接近乾清门前的走法。","The accepted answer is grounded in the active 两条路，一张图 Lv5 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv5 checkpoint uses the level's active Story and its declared 理解沈砚没有擦掉任何一条线的选择 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","紫禁城建筑通常以外朝与内廷作为重要功能框架。外朝核心区域与重大典礼、政务关系密切；内廷后部与帝后生活联系更紧。乾清门是内廷正宫门，也是连接内廷与外朝往来的重要通道。\n轴线、庭院尺度、宫门位置和功能分区共同组织紫禁城的空间关系。建筑因此不仅是孤立的殿宇，也是一套让方向、接近和不同用途彼此发生关系的空间结构。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-forbidden-city","两条路，一张图","Lv5","grammarRepair","修好这句中文\n难度 · 标准\n当前 Lv5 语言目标：直到…才…：时间条件与认知转折。先定位不自然部分，再选最小且完整的修复。\n训练目标 · 掌握直到…才…：时间条件与认知转折\n第 1 / 3 次 · 候选答案 4 个","","","直到两条线在共同节点相遇，他才开始","沈砚原先只想找一条路线，直到两条线在共同节点相遇，他才开始比较它们之后怎样分开。","沈砚原先只想找一条路线，到两条线在共同节点相遇，他就才开始比较它们之后怎样分开。","直到两条线在共同节点相遇，他就开始\n到两条线在共同节点相遇，他就才开始\n两条线在共同节点相遇以后，他才就开始\n直到两条线在共同节点相遇，他才开始","直到两条线在共同节点相遇，他才开始","语病修复 · 讲解","直到两条线在共同节点相遇，他就开始 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.\n到两条线在共同节点相遇，他就才开始 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.\n两条线在共同节点相遇以后，他才就开始 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.","","","掌握直到…才…：时间条件与认知转折","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv5","十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。他想练习一种能解释宫城空间关系的图，于是从午门进入后，沿南北中轴观察外朝的院落和宫门，再把自己的学习路线画到乾清门附近。外朝的开阔庭院和层层门序让他的线条很自然地顺着中轴向前。","The accepted answer is grounded in the active 两条路，一张图 Lv5 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv5 checkpoint uses the level's active Story and its declared 掌握直到…才…：时间条件与认知转折 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","紫禁城建筑通常以外朝与内廷作为重要功能框架。外朝核心区域与重大典礼、政务关系密切；内廷后部与帝后生活联系更紧。乾清门是内廷正宫门，也是连接内廷与外朝往来的重要通道。\n轴线、庭院尺度、宫门位置和功能分区共同组织紫禁城的空间关系。建筑因此不仅是孤立的殿宇，也是一套让方向、接近和不同用途彼此发生关系的空间结构。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-forbidden-city","两条路，一张图","Lv5","missingSentence","补全上下文关系\n难度 · 标准\n当前 Lv5：结合前后动作，选出最能说明两条路线关系的一句。 答案必须同时承接前句并解释后句。\n训练目标 · 理解沈砚从争对错转向比较关系\n第 1 / 3 次 · 候选答案 4 个","","","他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”","","","沈砚最后擦掉阿宁的路线，只留下自己的中轴线。\n沈砚认为建筑轴线会让所有人的实际行动完全相同。\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。\n他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”","他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”","正确答案与当前 Lv5 故事情节一致，但判断依据是前后文中的人物、关系与因果，不是关键词重复。","沈砚最后擦掉阿宁的路线，只留下自己的中轴线。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.\n沈砚认为建筑轴线会让所有人的实际行动完全相同。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.","阿宁在另一张纸上画出自己从东侧接近乾清门前的走法。他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”\n这个问题让两张图的矛盾变得更难处理，因为两条路线都来自真实的行动。","Between the supplied preceding and following context sentences","理解沈砚从争对错转向比较关系","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv5","阿宁在另一张纸上画出自己从东侧接近乾清门前的走法。他没有说沈砚画错，只问：“如果我们做的事不同，为什么一定要走成一条线？”\n这个问题让两张图的矛盾变得更难处理，因为两条路线都来自真实的行动。","The accepted answer is grounded in the active 两条路，一张图 Lv5 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv5 checkpoint uses the level's active Story and its declared 理解沈砚从争对错转向比较关系 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","紫禁城建筑通常以外朝与内廷作为重要功能框架。外朝核心区域与重大典礼、政务关系密切；内廷后部与帝后生活联系更紧。乾清门是内廷正宫门，也是连接内廷与外朝往来的重要通道。\n轴线、庭院尺度、宫门位置和功能分区共同组织紫禁城的空间关系。建筑因此不仅是孤立的殿宇，也是一套让方向、接近和不同用途彼此发生关系的空间结构。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-forbidden-city","两条路，一张图","Lv10","paragraphRebuild","重建事件关系\n难度 · 高级\n当前 Lv10：按两条路线怎样相遇又分开，重建这段空间行动。 不靠原句记忆，先判断动作、关系与因果。\n训练目标 · 解释为什么保留两条线比选出唯一路线更完整\n第 1 / 3 次 · 候选答案 4 个","傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。\n他用实线与点线在同一张纸上保留两条完整路线，标出共享节点、重合段与分岔，使建筑结构和人的目的同时可读。\n复合图揭示了两张原图单独都没有表达出的关系：同一宫城并不是一张“人人同路”的平面，建筑的轴线、宫门、庭院与功能分区提供共同空间骨架，不同角色则因行动目的而形成不同的合法叙事视角。","他用实线与点线在同一张纸上保留两条完整路线，标出共享节点、重合段与分岔，使建筑结构和人的目的同时可读。\n复合图揭示了两张原图单独都没有表达出的关系：同一宫城并不是一张“人人同路”的平面，建筑的轴线、宫门、庭院与功能分区提供共同空间骨架，不同角色则因行动目的而形成不同的合法叙事视角。\n傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。","他用实线与点线在同一张纸上保留两条完整路线，标出共享节点、重合段与分岔，使建筑结构和人的目的同时可读。\n复合图揭示了两张原图单独都没有表达出的关系：同一宫城并不是一张“人人同路”的平面，建筑的轴线、宫门、庭院与功能分区提供共同空间骨架，不同角色则因行动目的而形成不同的合法叙事视角。\n傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。","","","傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。\n他用实线与点线在同一张纸上保留两条完整路线，标出共享节点、重合段与分岔，使建筑结构和人的目的同时可读。\n复合图揭示了两张原图单独都没有表达出的关系：同一宫城并不是一张“人人同路”的平面，建筑的轴线、宫门、庭院与功能分区提供共同空间骨架，不同角色则因行动目的而形成不同的合法叙事视角。","他用实线与点线在同一张纸上保留两条完整路线，标出共享节点、重合段与分岔，使建筑结构和人的目的同时可读。\n复合图揭示了两张原图单独都没有表达出的关系：同一宫城并不是一张“人人同路”的平面，建筑的轴线、宫门、庭院与功能分区提供共同空间骨架，不同角色则因行动目的而形成不同的合法叙事视角。\n傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。","正确排序来自当前 Lv10 故事的事件推进；判断重点是前一动作怎样制造后一结果。 还要检查叙事焦点、时间推进与段落收束是否连续。","阿宁把沈砚的路线改成和自己完全一样，两人才继续走。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.","","","解释为什么保留两条线比选出唯一路线更完整","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv10","沈砚于是选择合成，而不是裁决。他用实线与点线在同一张纸上保留两条完整路线，标出共享节点、重合段与分岔，使建筑结构和人的目的同时可读。复合图揭示了两张原图单独都没有表达出的关系：同一宫城并不是一张“人人同路”的平面，建筑的轴线、宫门、庭院与功能分区提供共同空间骨架，不同角色则因行动目的而形成不同的合法叙事视角。","The accepted answer is grounded in the active 两条路，一张图 Lv10 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv10 checkpoint uses the level's active Story and its declared 解释为什么保留两条线比选出唯一路线更完整 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","今天的故宫博物院导览提供多种推荐参观路线，也按宫廷建筑功能展示不同区域。这些现代路线属于博物院参观组织，不能被直接当成明清宫廷中的官方行动路线。\n本 Journey 中沈砚与阿宁画出的路线都是虚构的学习表示，不是历史官方地图、许可记录或制度路线。故事只借用已经核实的建筑节点与空间关系，让学习者思考：同一建筑结构怎样因角色与目的不同而产生不同的移动视角。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-forbidden-city","两条路，一张图","Lv10","grammarRepair","修好这句中文\n难度 · 高级\n当前 Lv10 语言目标：取决于：条件来源。先定位不自然部分，再选最小且完整的修复。\n训练目标 · 掌握取决于：条件来源\n第 1 / 3 次 · 候选答案 4 个","","","取决于","路线怎样形成，取决于不同角色的行动目的。","路线怎样形成，取决到不同角色的行动目的。","取决到\n被取决于\n取决于\n取决在","取决于","语病修复 · 讲解","取决到 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.\n被取决于 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.\n取决在 — wrong: it does not produce the accepted minimal repair and leaves an incorrect particle, scope, order, or collocation.","","","掌握取决于：条件来源","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv10","十七岁的营造学徒沈砚第一次随周师傅进入紫禁城。他想把“宫城空间怎样连接、不同角色又怎样使用这些连接”做成一张能被别人读懂的学习图。进入午门后，他沿紫禁城南北中轴观察外朝。","The accepted answer is grounded in the active 两条路，一张图 Lv10 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv10 checkpoint uses the level's active Story and its declared 掌握取决于：条件来源 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","今天的故宫博物院导览提供多种推荐参观路线，也按宫廷建筑功能展示不同区域。这些现代路线属于博物院参观组织，不能被直接当成明清宫廷中的官方行动路线。\n本 Journey 中沈砚与阿宁画出的路线都是虚构的学习表示，不是历史官方地图、许可记录或制度路线。故事只借用已经核实的建筑节点与空间关系，让学习者思考：同一建筑结构怎样因角色与目的不同而产生不同的移动视角。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-forbidden-city","两条路，一张图","Lv10","missingSentence","补全上下文关系\n难度 · 高级\n当前 Lv10：结合前后动作，选出最能说明两条路线关系的一句。 答案必须同时承接前句并解释后句。\n训练目标 · 补足复合图最终表达的空间理解\n第 1 / 3 次 · 候选答案 4 个","","","傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。","","","沈砚认为建筑轴线会让所有人的实际行动完全相同。\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。\n沈砚最后擦掉阿宁的路线，只留下自己的中轴线。\n傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。","傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。","正确答案与当前 Lv10 故事情节一致，但判断依据是前后文中的人物、关系与因果，不是关键词重复。 高质量衔接还要保持主题链、指代对象和逻辑方向一致。","沈砚认为建筑轴线会让所有人的实际行动完全相同。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.\n阿宁把沈砚的路线改成和自己完全一样，两人才继续走。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.\n沈砚最后擦掉阿宁的路线，只留下自己的中轴线。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.","复合图揭示了两张原图单独都没有表达出的关系：同一宫城并不是一张“人人同路”的平面，建筑的轴线、宫门、庭院与功能分区提供共同空间骨架，不同角色则因行动目的而形成不同的合法叙事视角。傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。一张叠着两条路线的图留在纸上，两条线都清楚、都完整，也彼此说明。","Active Story sentence 18","补足复合图最终表达的空间理解","Story","resolveAdaptiveJourneyLevel:beijing-forbidden-city:Lv10","复合图揭示了两张原图单独都没有表达出的关系：同一宫城并不是一张“人人同路”的平面，建筑的轴线、宫门、庭院与功能分区提供共同空间骨架，不同角色则因行动目的而形成不同的合法叙事视角。傍晚，沈砚与阿宁从共同节点分别，继续各自要做的事。一张叠着两条路线的图留在纸上，两条线都清楚、都完整，也彼此说明。","The accepted answer is grounded in the active 两条路，一张图 Lv10 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv10 checkpoint uses the level's active Story and its declared 补足复合图最终表达的空间理解 target.","Names, actions, stakes, and place mechanism are taken from 两条路，一张图, not a generic resolver path.","今天的故宫博物院导览提供多种推荐参观路线，也按宫廷建筑功能展示不同区域。这些现代路线属于博物院参观组织，不能被直接当成明清宫廷中的官方行动路线。\n本 Journey 中沈砚与阿宁画出的路线都是虚构的学习表示，不是历史官方地图、许可记录或制度路线。故事只借用已经核实的建筑节点与空间关系，让学习者思考：同一建筑结构怎样因角色与目的不同而产生不同的移动视角。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
"beijing-summer-palace","留下痕迹的风景","Lv1","paragraphRebuild","重建事件关系\n难度 · 初级\n当前 Lv1：按光线、旧照片与许澄的选择，重建这段拍摄过程。 不靠原句记忆，先判断动作、关系与因果。\n训练目标 · 辨认拍照目标与旧照片出现的先后\n第 1 / 3 次 · 候选答案 4 个","她要为校展拍一张“无瑕”照片。\n冬至前，许澄带相机到颐和园。\n许澄错过金光以后删掉所有照片，放弃校展。\n周岚拿回旧照片，不再让许澄保存。","冬至前，许澄带相机到颐和园。\n她要为校展拍一张“无瑕”照片。","冬至前，许澄带相机到颐和园。\n她要为校展拍一张“无瑕”照片。","","","她要为校展拍一张“无瑕”照片。\n冬至前，许澄带相机到颐和园。\n许澄错过金光以后删掉所有照片，放弃校展。\n周岚拿回旧照片，不再让许澄保存。","冬至前，许澄带相机到颐和园。\n她要为校展拍一张“无瑕”照片。","故事通常先介绍地点或人物，再写行动，最后写结果。","许澄错过金光以后删掉所有照片，放弃校展。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.\n周岚拿回旧照片，不再让许澄保存。 — wrong: it is not supported by the active Story and changes or contradicts its action, relationship, or consequence.","","","辨认拍照目标与旧照片出现的先后","Story","resolveAdaptiveJourneyLevel:beijing-summer-palace:Lv1","冬至前，许澄带相机到颐和园。她要为校展拍一张“无瑕”照片。","The accepted answer is grounded in the active 留下痕迹的风景 Lv1 Story span reproduced in TAUGHT_SOURCE_TEXT.","Runtime-generated Lv1 checkpoint uses the level's active Story and its declared 辨认拍照目标与旧照片出现的先后 target.","Names, actions, stakes, and place mechanism are taken from 留下痕迹的风景, not a generic resolver path.","万寿山和昆明湖构成颐和园最基本的山水框架。山与湖不是两个分开的景点，而是理解整座园林的起点。\n颐和园把自然山水与亭台、殿堂、寺庙、桥梁等人工要素组织在同一个皇家园林景观中。它的价值来自这些部分之间的整体关系。","AGENT PASS — actual runtime content, answer, teaching span, and distractors inspected; no contradiction or teach-before-test defect found.","","","HUMAN_REVIEW_REQUIRED",""
