DOCUMENT,PREVIOUS_STATUS,CURRENT_STATUS,CURRENT_CLASSIFICATION,PRECEDENCE_OR_EXCLUSION_BASIS,NORMATIVE_CLAUSE_COUNT,REQUIREMENT_COUNT
docs/PHOENIX_PRODUCT_QUALITY_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,95,95
docs/PHOENIX_STABLE_BASELINE_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,70,70
docs/PHOENIX_DEVELOPMENT_COMPLETION_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,80,80
docs/PHOENIX_FULL_APPLICATION_AUDIT_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,88,88
docs/PHOENIX_JOURNEY_SYSTEM_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; visible-stage wording only is superseded by PHOENIX_SIX_STAGE_JOURNEY_STANDARD.md; all other independently binding clauses remain current-effective,166,166
docs/PHOENIX_SIX_STAGE_JOURNEY_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,146,146
docs/PHOENIX_NARRATIVE_AND_DISCOVERY_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,370,370
docs/PHOENIX_NARRATIVE_AND_DISCOVERY_STANDARD_APPENDIX_STORY_DEPTH_HISTORY.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,75,75
docs/PHOENIX_GOLD_SEMANTIC_AUDIT.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,49,49
docs/PHOENIX_NEW_JOURNEY_CREATION_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,164,164
docs/PHOENIX_LOCATION_HIERARCHY_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,24,24
docs/PHOENIX_UI_VISUAL_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,87,87
docs/PHOENIX_AI_BACKGROUND_PRODUCTION_STANDARD.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,287,287
docs/journey-content-quality-gate.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,75,75
docs/destination-background-policy.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,17,17
docs/adaptive-level-content-v2.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,16,16
docs/natural-narration-v1.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,3,3
docs/narration-voice-picker.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,2,2
docs/one-screen-interface-rule.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,12,12
docs/development-workflow.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,93,93
docs/ACCEPTANCE_CHECKLIST.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,20,20
docs/PRODUCT_BIBLE.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,7,7
docs/PRODUCT_PRINCIPLES.md,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,CURRENT_EFFECTIVE,Newer explicit supersession > specific canonical standard > stable baseline > product principles; no exclusion; document remains independently current-effective under exact-head inventory,12,12
__SUMMARY__,23 PREVIOUS AUTHORITY DOCS,23 ACCOUNTED,UNEXPLAINED_EXCLUSIONS=0,All prior authority documents remain in current scope; no authority reduction was used to obtain zero unextracted rules,1958,1958
