JOURNEY_ID,LEVEL,MODE,NATURAL,TAUGHT,FAIR,ONE_DEFENSIBLE_ANSWER,DISTRACTOR_PLAUSIBLE,CHINESE_VALUE,STORY_REINFORCEMENT,LEVEL_FIT,JOURNEY_IDENTITY,RESULT
beijing-forbidden-city,1,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-forbidden-city,1,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-forbidden-city,1,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-forbidden-city,5,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-forbidden-city,5,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-forbidden-city,5,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-forbidden-city,10,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-forbidden-city,10,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-forbidden-city,10,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,1,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,1,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,1,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,5,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,5,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,5,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,10,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,10,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
beijing-summer-palace,10,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,1,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,1,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,1,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,5,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,5,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,5,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,10,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,10,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
chengdu-kuanzhai-alley,10,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,1,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,1,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,1,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,5,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,5,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,5,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,10,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,10,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
datong-yungang-grottoes,10,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,1,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,1,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,1,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,5,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,5,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,5,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,10,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,10,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
guangzhou-chen-clan-academy,10,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,1,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,1,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,1,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,5,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,5,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,5,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,10,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,10,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
hangzhou-west-lake,10,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,1,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,1,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,1,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,5,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,5,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,5,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,10,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,10,grammarRepair,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
jiangmen-kaiping-diaolou,10,missingSentence,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
luoyang-longmen-grottoes,1,paragraphRebuild,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
