JOURNEY ID,LEVEL,MODE,PRIMARY LEARNING INTENT,SECONDARY INTENT,ACTIVE SOURCE,SOURCE PROVENANCE,TAUGHT BEFORE TESTED,CORRECT ANSWER,WHY CORRECT,ALTERNATIVE ANSWER AMBIGUITY,ONE DEFENSIBLE ANSWER,DISTRACTOR QUALITY,DISTRACTOR MISCONCEPTION,HISTORICAL TRUTH,LANGUAGE VALUE,STORY CONNECTION,DISCOVERY CONNECTION,STORY/DISCOVERY CLOSED LOOP,LEVEL APPROPRIATENESS,COGNITIVE BAND,COGNITIVE PROGRESSION,LEGACY CONTAMINATION,CROSS-JOURNEY CONTAMINATION,TEMPLATE COLLISION,DEFECT CODES,RESULT
beijing-forbidden-city,Lv1,paragraphRebuild,STORY,LANGUAGE,JourneyChallengePanel,ACTIVE STORY,PASS,”两人把两条线放到同一张纸上，对准乾清门。 / 两条线在这里相遇，又向不同方向分开。 / 沈砚没有擦掉任何一条，而是把两条都描清楚。 / 最后，他们从同一个门前继续走向各自要去的方向。,active Story sequence,NONE FOUND,PASS,PASS,verbatim Story recall dominates mode,PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Recognition / Basic comprehension,PASS,PASS,PASS,PASS,MODE,REPAIR REQUIRED
beijing-forbidden-city,Lv1,grammarRepair,LANGUAGE,STORY,JourneyChallengePanel,EXPLICIT LANGUAGE OBJECTIVE + JOURNEY CONTEXT,PASS,两条线在这里相遇，又向不同方向分开。,natural Chinese structural repair,NONE FOUND,PASS,FAIL,"weak/mechanical, false-world, or filler distractor",PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Recognition / Basic comprehension,PASS,PASS,PASS,PASS,DST,REPAIR REQUIRED
beijing-forbidden-city,Lv1,missingSentence,STORY,LANGUAGE,JourneyChallengePanel,ACTIVE STORY,PASS,沈砚没有擦掉任何一条，而是把两条都描清楚。,best bridge for active Story context,NONE FOUND,PASS,PASS,verbatim Story recall dominates mode,PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Recognition / Basic comprehension,PASS,PASS,PASS,PASS,MODE,REPAIR REQUIRED
beijing-forbidden-city,Lv2,paragraphRebuild,STORY,LANGUAGE,JourneyChallengePanel,ACTIVE STORY,PASS,两人把两条线叠到同一张图上，用乾清门作共同位置。 / 两条线短暂重合，又向不同方向分开。 / 沈砚决定不删掉任何一条，而是用两种线把它们都保留下来。 / 图不再只回答“哪条路才对”，而开始说明“谁为什么这样走”。,active Story sequence,NONE FOUND,PASS,PASS,verbatim Story recall dominates mode,PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Recognition / Basic comprehension,PASS,PASS,PASS,PASS,MODE,REPAIR REQUIRED
beijing-forbidden-city,Lv2,grammarRepair,LANGUAGE,STORY,JourneyChallengePanel,EXPLICIT LANGUAGE OBJECTIVE + JOURNEY CONTEXT,PASS,两条线短暂重合，又向不同方向分开。,natural Chinese structural repair,NONE FOUND,PASS,FAIL,"weak/mechanical, false-world, or filler distractor",PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Recognition / Basic comprehension,PASS,PASS,PASS,PASS,DST,REPAIR REQUIRED
beijing-forbidden-city,Lv2,missingSentence,STORY,LANGUAGE,JourneyChallengePanel,ACTIVE STORY,PASS,沈砚决定不删掉任何一条，而是用两种线把它们都保留下来。,best bridge for active Story context,NONE FOUND,PASS,PASS,verbatim Story recall dominates mode,PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Recognition / Basic comprehension,PASS,PASS,PASS,PASS,MODE,REPAIR REQUIRED
beijing-forbidden-city,Lv3,paragraphRebuild,CAUSAL REASONING,LANGUAGE,JourneyChallengePanel,ACTIVE STORY,PASS,两条路线在那里相遇，随后因为两人的事情不同而分开。 / 沈砚这才发现，两张图各自只说明了一种移动关系，任何一张单独留下都会少掉另一种信息。 / 他选择把两条线叠在同一张图上，并用不同线型保留它们。 / 新的图没有判定谁错，而让“同一空间、不同角色、不同走法”同时变得可见。,active Story sequence,NONE FOUND,PASS,PASS,verbatim Story recall dominates mode,PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Sequence / Simple causality,PASS,PASS,PASS,PASS,MODE,REPAIR REQUIRED
beijing-forbidden-city,Lv3,grammarRepair,LANGUAGE,STORY,JourneyChallengePanel,EXPLICIT LANGUAGE OBJECTIVE + JOURNEY CONTEXT,PASS,两条路线在那里相遇，随后因为两人的事情不同而分开。,natural Chinese structural repair,NONE FOUND,PASS,FAIL,"weak/mechanical, false-world, or filler distractor",PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Sequence / Simple causality,PASS,PASS,PASS,PASS,DST,REPAIR REQUIRED
beijing-forbidden-city,Lv3,missingSentence,CAUSAL REASONING,LANGUAGE,JourneyChallengePanel,ACTIVE STORY,PASS,他选择把两条线叠在同一张图上，并用不同线型保留它们。,best bridge for active Story context,NONE FOUND,PASS,PASS,verbatim Story recall dominates mode,PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Sequence / Simple causality,PASS,PASS,PASS,PASS,MODE,REPAIR REQUIRED
beijing-forbidden-city,Lv4,paragraphRebuild,CAUSAL REASONING,LANGUAGE,JourneyChallengePanel,ACTIVE STORY,PASS,沈砚发现，午门和中轴让自己的学习路线容易组织；阿宁的路线则由他要去的地方和所做的事情决定。 / 到了乾清门前，两条线终于对齐，随后又分向不同方向。 / 沈砚作出决定：不选一条覆盖另一条，而在同一张纸上用实线和点线保留两种走法。 / 重叠后的图比任何一张原图都多出一种关系：建筑相同，角色与目的不同，路线也可以不同。,active Story sequence,NONE FOUND,PASS,PASS,verbatim Story recall dominates mode,PASS,PASS,PASS,PASS/NOT PRIMARY,PASS,PASS,Sequence / Simple causality,PASS,PASS,PASS,PASS,MODE,REPAIR REQUIRED
