"JOURNEY_ID","JOURNEY_TYPE","GOLD_STATUS","ACTIVE_RUNTIME_SOURCE","RESOLVER_PATH","LOCATION_BINDING","NARRATIVE_DNA","SEMANTIC_FINGERPRINT","PROGRESS_KEY","REWARD_STAMP","LANGUAGES","ASSET_RIGHTS_EVIDENCE"
"beijing-forbidden-city","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:beijing-forbidden-city","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"beijing-summer-palace","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:beijing-summer-palace","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"shanghai-bund","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:shanghai-bund","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"xian-city-wall","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:xian-city-wall","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"hangzhou-west-lake","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:hangzhou-west-lake","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"chengdu-kuanzhai-alley","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:chengdu-kuanzhai-alley","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"nanjing-qinhuai-river","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:nanjing-qinhuai-river","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"guangzhou-chen-clan-academy","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:guangzhou-chen-clan-academy","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"jiangmen-kaiping-diaolou","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:jiangmen-kaiping-diaolou","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"suzhou-humble-administrators-garden","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:suzhou-humble-administrators-garden","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"luoyang-longmen-grottoes","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:luoyang-longmen-grottoes","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"quanzhou-kaiyuan-temple","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:quanzhou-kaiyuan-temple","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"datong-yungang-grottoes","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:datong-yungang-grottoes","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"lijiang-old-town","NORMAL","APPROVED_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","approvedNarrativeDnaCatalog","approvedGoldSemanticFingerprints","journey:lijiang-old-town","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"dunhuang-mogao-caves","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:dunhuang-mogao-caves","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
"chengde-mountain-resort","NORMAL","ACTIVE_NON_GOLD","dailyJourneyIds/dailyJourneyExperiences","journeyExperienceById -> resolveAdaptiveJourneyLevel","journey_location_binding + GeoNode","ACTIVE_NOT_APPROVED_GOLD","ACTIVE_NOT_APPROVED_GOLD","journey:chengde-mountain-resort","Journey completion/stamp runtime","Chinese|Pinyin|Vietnamese|English","Journey sourceIds + bundled asset/background policy gates"
