JOURNEY_ID,PARAGRAPH_LOGIC,GRAMMAR_DNA,MISSING_SENTENCE_LOGIC,COGNITIVE_ARC,RESULT
beijing-forbidden-city,two legitimate movement routes through one palace,route/evidence/role Chinese relations,shared node → divergent purpose,perspective integration,PASS
beijing-summer-palace,waiting for winter light while an old photograph falls,time/evidence/trace language,lost light → inherited trace,imperfection and evidence,PASS
chengdu-kuanzhai-alley,one bamboo chair keeps changing users and purposes,shared-space/rotation/responsibility language,fixed placement fails → handoff emerges,adaptive shared use,PASS
datong-yungang-grottoes,three ink lines distribute responsibility after imperial-scale work has changed,locked reference Gold grammar progression,single successor → cut rope → three accountable lines,reference Gold; quality model only,PASS
guangzhou-chen-clan-academy,recognition continues without forced public proof,consent/name/image-boundary language,camera raised → boundary respected,relationship without public performance,PASS
hangzhou-west-lake,memory quiz stops when care appears in action,memory/trigger/focus language,wrong answers → protective reflex,memory and relationship agency,PASS
jiangmen-kaiping-diaolou,a private tower plan becomes shared responsibility after family negotiation,purpose/allocation/family-duty language,private funding → communal need → rewritten responsibility,diaspora influence and local responsibility,PASS
luoyang-longmen-grottoes,a reconstruction layer is deleted when its source cannot be named,source/evidence/limit language,visual completeness → provenance failure → deletion,truth through evidentiary restraint,PASS
nanjing-qinhuai-river,a lighting technician leaves one decorative section dark,safety/constraint/record language,deadline → reduced scope → accountable handoff,responsible incompleteness,PASS
shanghai-bund,old bill of lading crosses the river with a new worker,record/transition/continuity language,two banks visible together,continuity across changing systems,PASS
suzhou-humble-administrators-garden,an anxious grandmother learns to allow temporary disappearance,waiting/visibility/care-boundary language,lost sight → reappearance → trust,mature care through distance,PASS
xian-city-wall,a farewell lap continues beyond the wall to a new home,route/boundary/belonging language,closed wall → open lived route,physical boundary vs belonging,PASS
